para	season	species
58	Spring	"Littorina brevicula"
51	Spring	"Littorina brevicula"
54	Spring	"Littorina brevicula"
39	Spring	"Littorina brevicula"
65	Spring	"Littorina brevicula"
67	Spring	"Littorina brevicula"
60	Spring	"Littorina brevicula"
54	Spring	"Littorina brevicula"
47	Spring	"Littorina brevicula"
66	Spring	"Littorina brevicula"
51	Spring	"Littorina brevicula"
43	Spring	"Littorina brevicula"
62	Spring	"Littorina brevicula"
55	Spring	"Littorina brevicula"
58	Spring	"Littorina brevicula"
43	Spring	"Littorina brevicula"
69	Spring	"Littorina brevicula"
71	Spring	"Littorina brevicula"
64	Spring	"Littorina brevicula"
58	Spring	"Littorina brevicula"
51	Spring	"Littorina brevicula"
70	Spring	"Littorina brevicula"
55	Spring	"Littorina brevicula"
47	Spring	"Littorina brevicula"
54	Spring	"Littorina brevicula"
43	Spring	"Littorina littorea"
63	Spring	"Littorina littorea"
58	Spring	"Littorina littorea"
61	Spring	"Littorina littorea"
63	Spring	"Littorina littorea"
45	Spring	"Littorina littorea"
45	Spring	"Littorina littorea"
77	Spring	"Littorina littorea"
57	Spring	"Littorina littorea"
49	Spring	"Littorina littorea"
72	Spring	"Littorina littorea"
47	Spring	"Littorina littorea"
78	Spring	"Littorina littorea"
77	Spring	"Littorina littorea"
71	Spring	"Littorina littorea"
69	Spring	"Littorina littorea"
66	Spring	"Littorina littorea"
76	Spring	"Littorina littorea"
75	Spring	"Littorina littorea"
54	Spring	"Littorina littorea"
62	Spring	"Littorina littorea"
58	Spring	"Littorina littorea"
76	Spring	"Littorina littorea"
68	Spring	"Littorina littorea"
84	Spring	"Littorina littorea"
61	Summer	"Littorina brevicula"
70	Summer	"Littorina brevicula"
68	Summer	"Littorina brevicula"
67	Summer	"Littorina brevicula"
88	Summer	"Littorina brevicula"
64	Summer	"Littorina brevicula"
69	Summer	"Littorina brevicula"
70	Summer	"Littorina brevicula"
56	Summer	"Littorina brevicula"
80	Summer	"Littorina brevicula"
80	Summer	"Littorina brevicula"
53	Summer	"Littorina brevicula"
56	Summer	"Littorina brevicula"
101	Summer	"Littorina brevicula"
81	Summer	"Littorina brevicula"
88	Summer	"Littorina brevicula"
67	Summer	"Littorina brevicula"
73	Summer	"Littorina brevicula"
75	Summer	"Littorina brevicula"
74	Summer	"Littorina brevicula"
68	Summer	"Littorina brevicula"
89	Summer	"Littorina brevicula"
75	Summer	"Littorina brevicula"
74	Summer	"Littorina brevicula"
76	Summer	"Littorina brevicula"
66	Summer	"Littorina littorea"
61	Summer	"Littorina littorea"
51	Summer	"Littorina littorea"
67	Summer	"Littorina littorea"
78	Summer	"Littorina littorea"
79	Summer	"Littorina littorea"
69	Summer	"Littorina littorea"
76	Summer	"Littorina littorea"
86	Summer	"Littorina littorea"
97	Summer	"Littorina littorea"
64	Summer	"Littorina littorea"
68	Summer	"Littorina littorea"
65	Summer	"Littorina littorea"
49	Summer	"Littorina littorea"
62	Summer	"Littorina littorea"
57	Summer	"Littorina littorea"
70	Summer	"Littorina littorea"
62	Summer	"Littorina littorea"
80	Summer	"Littorina littorea"
81	Summer	"Littorina littorea"
85	Summer	"Littorina littorea"
77	Summer	"Littorina littorea"
61	Summer	"Littorina littorea"
59	Summer	"Littorina littorea"
66	Summer	"Littorina littorea"
